Timestamp,Timestamp (Seconds),Algorithm,Avg Key Gen Time (s),Avg Cert Signing Request Time (s),Avg Cert Gen Time (s),Avg Cert Verifying Time (s),
2021-02-28 14:32:32.835955,1614522752.835955,rsa 2048,0.0011730194091796875,0.0008451938629150391,0.0010268688201904297,0.00168609619140625,
2021-02-28 14:32:32.845118,1614522752.845118,rsa 3072,0.004216670989990234,0.0014793872833251953,0.0012860298156738281,0.0010831356048583984,
2021-02-28 14:32:32.851087,1614522752.851087,rsa 4096,0.0008907318115234375,0.0007932186126708984,0.0010390281677246094,0.0021266937255859375,
2021-02-28 14:32:32.856115,1614522752.856115,dilithium2,0.0009343624114990234,0.0009334087371826172,0.0010280609130859375,0.001005411148071289,
2021-02-28 14:32:32.862824,1614522752.862824,dilithium3,0.00217437744140625,0.0009763240814208984,0.0011487007141113281,0.0012209415435791016,
2021-02-28 14:32:32.867780,1614522752.86778,dilithium5,0.0008275508880615234,0.00098419189453125,0.0009388923645019531,0.0009725093841552734,
2021-02-28 14:32:32.872354,1614522752.872354,dilithium2_aes,0.0010404586791992188,0.0009195804595947266,0.0007915496826171875,0.0009372234344482422,
2021-02-28 14:32:32.877048,1614522752.877048,dilithium3_aes,0.0010807514190673828,0.0008530616760253906,0.0009267330169677734,0.0009467601776123047,
2021-02-28 14:32:32.882747,1614522752.882747,dilithium5_aes,0.0009059906005859375,0.0009012222290039062,0.0008993148803710938,0.0018215179443359375,
2021-02-28 14:32:32.888460,1614522752.88846,falcon512,0.0009202957153320312,0.0011944770812988281,0.0010826587677001953,0.0009741783142089844,
2021-02-28 14:32:32.894887,1614522752.894887,falcon1024,0.0017771720886230469,0.0010368824005126953,0.0009784698486328125,0.0011646747589111328,
2021-02-28 14:32:32.899465,1614522752.899465,rsa3072_dilithium2,0.0007984638214111328,0.000911712646484375,0.0009469985961914062,0.0009565353393554688,
2021-02-28 14:32:32.904160,1614522752.90416,rsa3072_dilithium3,0.0009105205535888672,0.000911712646484375,0.0009450912475585938,0.0008935928344726562,
2021-02-28 14:32:32.909052,1614522752.909052,rsa4096_dilithium5,0.0011086463928222656,0.0009303092956542969,0.0009672641754150391,0.0009546279907226562,
2021-02-28 14:32:32.914496,1614522752.914496,rsa3072_falcon512,0.00089263916015625,0.0009589195251464844,0.001617431640625,0.0009398460388183594,
2021-02-28 14:32:32.919898,1614522752.919898,rsa4096_falcon512,0.0010428428649902344,0.0009779930114746094,0.0009744167327880859,0.0010459423065185547,
2021-02-28 14:32:32.925765,1614522752.925765,p256_dilithium2,0.0009059906005859375,0.0007991790771484375,0.0010349750518798828,0.001249074935913086,
2021-02-28 14:32:32.930495,1614522752.930495,p256_dilithium3,0.0008907318115234375,0.0007963180541992188,0.0011699199676513672,0.0008707046508789062,
2021-02-28 14:32:32.935221,1614522752.935221,p384_dilithium5,0.0007827281951904297,0.0009543895721435547,0.0011510848999023438,0.0008862018585205078,
2021-02-28 14:32:32.939715,1614522752.939715,p256_falcon512,0.0007910728454589844,0.0009305477142333984,0.0008897781372070312,0.0009284019470214844,
2021-02-28 14:32:32.944230,1614522752.94423,p384_falcon1024,0.0007836818695068359,0.0008752346038818359,0.0008766651153564453,0.000990152359008789,
