Timestamp,Timestamp (Seconds),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,
2021-03-01 08:49:14.377055,1614588554.377055,0.0,3400.046,12.0,471949312,0.0,0,13.9,8765837312,
2021-03-01 08:49:14.878879,1614588554.878879,0.5,3400.046,12.0,471810048,0.0,0,13.9,8765837312,
2021-03-01 08:49:15.380877,1614588555.380877,4.4,3400.046,12.0,471355392,0.0,0,13.9,8765837312,
2021-03-01 08:49:15.882802,1614588555.882802,0.0,3400.046,12.0,471355392,0.0,0,13.9,8765837312,
2021-03-01 08:49:16.384671,1614588556.384671,3.5,3400.046,12.1,472334336,0.0,0,13.9,8765837312,
2021-03-01 08:49:16.886262,1614588556.886262,0.0,3400.046,12.1,472334336,0.0,0,13.9,8765837312,
2021-03-01 08:49:17.388269,1614588557.388269,4.0,3400.046,12.0,471896064,0.0,0,13.9,8765837312,
2021-03-01 08:49:17.890247,1614588557.890247,0.5,3400.046,12.0,471896064,0.0,0,13.9,8765837312,
2021-03-01 08:49:18.392015,1614588558.392015,2.0,3400.046,12.0,471793664,0.0,0,13.9,8765837312,
2021-03-01 08:49:18.893948,1614588558.893948,1.0,3400.046,12.0,471793664,0.0,0,13.9,8765837312,
2021-03-01 08:49:19.395296,1614588559.395296,4.0,3400.046,12.1,472637440,0.0,0,13.9,8765837312,
2021-03-01 08:49:19.897085,1614588559.897085,0.0,3400.046,12.1,472637440,0.0,0,13.9,8765837312,
2021-03-01 08:49:20.398620,1614588560.39862,3.0,3400.046,12.0,469987328,0.0,0,13.9,8765837312,
2021-03-01 08:49:20.900602,1614588560.900602,0.0,3400.046,12.0,470278144,0.0,0,13.9,8765837312,
2021-03-01 08:49:21.402525,1614588561.402525,3.5,3400.046,12.0,470601728,0.0,0,13.9,8765837312,
2021-03-01 08:49:21.904398,1614588561.904398,0.0,3400.046,12.0,470536192,0.0,0,13.9,8765837312,
2021-03-01 08:49:22.406333,1614588562.406333,4.0,3400.046,12.0,470794240,0.0,0,13.9,8765837312,
2021-03-01 08:49:22.907989,1614588562.907989,0.0,3400.046,12.0,471076864,0.0,0,13.9,8765837312,
2021-03-01 08:49:23.409975,1614588563.409975,3.5,3400.046,12.1,475447296,0.0,0,13.9,8765837312,
2021-03-01 08:49:23.911901,1614588563.911901,0.5,3400.046,12.1,475447296,0.0,0,13.9,8765837312,
2021-03-01 08:49:24.413797,1614588564.413797,3.0,3400.046,12.1,476262400,0.0,0,13.9,8765837312,
2021-03-01 08:49:24.915693,1614588564.915693,0.0,3400.046,12.1,476262400,0.0,0,13.9,8765837312,
2021-03-01 08:49:25.417188,1614588565.417188,2.5,3400.046,12.1,476221440,0.0,0,13.9,8765837312,
2021-03-01 08:49:25.919163,1614588565.919163,0.0,3400.046,12.1,476221440,0.0,0,13.9,8765837312,
2021-03-01 08:49:26.421213,1614588566.421213,3.5,3400.046,12.1,477028352,0.0,0,13.9,8765837312,
2021-03-01 08:49:26.922498,1614588566.922498,1.5,3400.046,12.1,477806592,0.0,0,13.9,8765833216,
2021-03-01 08:49:27.423806,1614588567.423806,27.1,3400.046,12.2,479014912,0.0,0,13.9,8765833216,
2021-03-01 08:49:27.924991,1614588567.924991,26.3,3400.046,12.1,478011392,0.0,0,13.9,8765833216,
2021-03-01 08:49:28.426112,1614588568.426112,27.6,3400.046,12.1,477503488,0.0,0,13.9,8765833216,
2021-03-01 08:49:28.927265,1614588568.927265,23.9,3400.046,12.1,477978624,0.0,0,13.9,8765833216,
2021-03-01 08:49:29.428369,1614588569.428369,25.1,3400.046,12.2,480616448,0.0,0,13.9,8765833216,
2021-03-01 08:49:29.929262,1614588569.929262,25.4,3400.046,12.1,477229056,0.0,0,13.9,8765833216,
2021-03-01 08:49:30.430788,1614588570.430788,27.6,3400.046,12.1,477503488,0.0,0,13.9,8765833216,
2021-03-01 08:49:30.931903,1614588570.931903,23.4,3400.046,12.1,476598272,0.0,0,13.9,8765833216,
2021-03-01 08:49:31.433049,1614588571.433049,25.4,3400.046,12.1,477237248,0.0,0,13.9,8765833216,
2021-03-01 08:49:31.934377,1614588571.934377,27.9,3400.046,12.1,478023680,0.0,0,13.9,8765833216,
2021-03-01 08:49:32.435504,1614588572.435504,24.7,3400.046,12.2,478552064,0.0,0,13.9,8765833216,
2021-03-01 08:49:32.936613,1614588572.936613,26.4,3400.046,12.2,479072256,0.0,0,13.9,8765833216,
2021-03-01 08:49:33.437407,1614588573.437407,24.1,3400.046,12.2,479371264,0.0,0,13.9,8765833216,
2021-03-01 08:49:33.938603,1614588573.938603,28.0,3400.046,12.2,478756864,0.0,0,13.9,8765833216,
2021-03-01 08:49:34.439720,1614588574.43972,25.0,3400.046,12.2,479145984,0.0,0,13.9,8765833216,
2021-03-01 08:49:34.940891,1614588574.940891,27.5,3400.046,12.2,478670848,0.0,0,13.9,8765833216,
2021-03-01 08:49:35.442061,1614588575.442061,25.4,3400.046,12.2,478609408,0.0,0,13.9,8765833216,
2021-03-01 08:49:35.943215,1614588575.943215,28.2,3400.046,12.1,478441472,0.0,0,13.9,8765833216,
2021-03-01 08:49:36.444342,1614588576.444342,24.6,3400.046,12.1,478425088,0.0,0,13.9,8765833216,
2021-03-01 08:49:36.945451,1614588576.945451,29.6,3400.046,12.2,478515200,0.0,0,13.9,8765833216,
2021-03-01 08:49:37.446539,1614588577.446539,23.5,3400.046,12.1,478130176,0.0,0,13.9,8765833216,
2021-03-01 08:49:37.947646,1614588577.947646,26.9,3400.046,12.2,478789632,0.0,0,13.9,8765833216,
2021-03-01 08:49:38.448833,1614588578.448833,24.1,3400.046,12.1,478195712,0.0,0,13.9,8765833216,
2021-03-01 08:49:38.949933,1614588578.949933,28.0,3400.046,12.1,477433856,0.0,0,13.9,8765833216,
2021-03-01 08:49:39.451226,1614588579.451226,23.0,3400.046,12.1,478015488,0.0,0,13.9,8765833216,
2021-03-01 08:49:39.952313,1614588579.952313,28.7,3400.046,12.1,477368320,0.0,0,13.9,8765833216,
2021-03-01 08:49:40.453290,1614588580.45329,23.4,3400.046,12.1,477388800,0.0,0,13.9,8765833216,
2021-03-01 08:49:40.954404,1614588580.954404,27.6,3400.046,12.1,477847552,0.0,0,13.9,8765833216,
2021-03-01 08:49:41.455675,1614588581.455675,23.5,3400.046,12.1,477130752,0.0,0,13.9,8765833216,
2021-03-01 08:49:41.956974,1614588581.956974,27.9,3400.046,12.1,477159424,0.0,0,13.9,8765833216,
2021-03-01 08:49:42.458162,1614588582.458162,23.9,3400.046,12.1,476954624,0.0,0,13.9,8765833216,
2021-03-01 08:49:42.959371,1614588582.959371,28.4,3400.046,12.1,477556736,0.0,0,13.9,8765833216,
2021-03-01 08:49:43.460517,1614588583.460517,24.5,3400.046,12.1,478019584,0.0,0,13.9,8765833216,
2021-03-01 08:49:43.962092,1614588583.962092,27.3,3400.046,12.1,478470144,0.0,0,13.9,8765833216,
2021-03-01 08:49:44.463219,1614588584.463219,24.1,3400.046,12.2,479186944,0.0,0,13.9,8765833216,
2021-03-01 08:49:44.964334,1614588584.964334,28.4,3400.046,12.2,479113216,0.0,0,13.9,8765833216,
2021-03-01 08:49:45.465307,1614588585.465307,24.5,3400.046,12.2,478785536,0.0,0,13.9,8765833216,
2021-03-01 08:49:45.966408,1614588585.966408,28.0,3400.046,12.2,478494720,0.0,0,13.9,8765833216,
2021-03-01 08:49:46.467559,1614588586.467559,25.7,3400.046,12.1,478314496,0.0,0,13.9,8765833216,
2021-03-01 08:49:46.968657,1614588586.968657,27.6,3400.046,12.2,479264768,0.0,0,13.9,8765833216,
2021-03-01 08:49:47.469944,1614588587.469944,23.7,3400.046,12.1,478126080,0.0,0,13.9,8765833216,
2021-03-01 08:49:47.971058,1614588587.971058,26.1,3400.046,12.1,478199808,0.0,0,13.9,8765833216,
2021-03-01 08:49:48.472179,1614588588.472179,24.9,3400.046,12.1,477638656,0.0,0,13.9,8765833216,
2021-03-01 08:49:48.973348,1614588588.973348,28.7,3400.046,12.1,477700096,0.0,0,13.9,8765833216,
2021-03-01 08:49:49.474482,1614588589.474482,24.1,3400.046,12.1,477978624,0.0,0,13.9,8765833216,
2021-03-01 08:49:49.976038,1614588589.976038,24.9,3400.046,12.1,477462528,0.0,0,13.9,8765833216,
2021-03-01 08:49:50.477208,1614588590.477208,27.3,3400.046,12.1,477429760,0.0,0,13.9,8765833216,
2021-03-01 08:49:50.978408,1614588590.978408,28.2,3400.046,12.2,478801920,0.0,0,13.9,8765833216,
2021-03-01 08:49:51.479820,1614588591.47982,26.8,3400.046,12.1,478380032,0.0,0,13.9,8765833216,
