Timestamp,Timestamp (Seconds),Algorithm,Algorithm (human readable),Avg Key Gen Time (ms),Avg Cert Signing Request Time (ms),Avg Cert Gen Time (ms),Avg Cert Verifying Time (ms),
2021-03-05 08:54:24.655145,1614934464.655145,rsa 2048,RSA 2048,62.467938733100894,2.5786203384399413,2.854798460006714,1.7958111763000488,
2021-03-05 09:26:46.043247,1614936406.043247,rsa 3072,RSA 3072,184.08508467674255,3.9061643838882447,4.288516044616699,1.8475930213928222,
2021-03-05 10:41:47.462426,1614940907.462426,rsa 4096,RSA 4096,435.31830956935886,6.209866046905518,6.642584013938904,1.919678592681885,
2021-03-05 10:43:02.436662,1614940982.436662,dilithium2,Dilithium 2,1.6062992572784422,1.823625612258911,2.1558005571365353,1.9114752054214479,
2021-03-05 10:44:20.126735,1614941060.126735,dilithium3,Dilithium 3,1.625293207168579,1.8903602600097658,2.274721884727478,1.9783873319625853,
2021-03-05 10:45:40.786172,1614941140.786172,dilithium5,Dilithium 5,1.658746314048767,1.9476033926010132,2.376597595214844,2.0827346324920653,
2021-03-05 10:48:02.263311,1614941282.263311,falcon512,Falcon 512,7.9825910329818734,1.9692917585372927,2.2953096628189087,1.8997729301452637,
2021-03-05 10:52:29.463124,1614941549.463124,falcon1024,Falcon 1024,19.83857593536377,2.2318493604660037,2.6331283807754517,2.014699840545654,
2021-03-05 11:12:07.752651,1614942727.752651,rainbowIclassic,Rainbow I Classic,95.7835021495819,5.072220373153686,8.9772230386734,7.986046266555786,
2021-03-05 11:32:44.378846,1614943964.378846,rainbowIcircumzenithal,Rainbow I Circumzenithal,106.28462274074555,4.132362627983093,6.937631726264954,6.297203588485718,
2021-03-05 12:07:43.085108,1614946063.085108,rainbowIcompressed,Rainbow I Compressed,105.3617693901062,47.941836428642276,50.20416932106018,6.3477853536605835,
2021-03-05 16:00:03.257730,1614960003.25773,rainbowIIIclassic,Rainbow III Classic,1268.836786532402,29.625196933746338,49.79926126003265,45.62768130302429,
2021-03-05 20:16:34.900585,1614975394.900585,rainbowIIIcircumzenithal,Rainbow III Circumzenithal,1447.1524385690689,20.170673418045045,37.27996833324433,34.415567851066584,
2021-03-06 04:11:27.451821,1615003887.451821,rainbowIIIcompressed,Rainbow III Compressed,1446.7499144792557,675.5975023269654,691.646200799942,35.049966669082636,
2021-03-06 04:12:42.866728,1615003962.866728,dilithium2_aes,Dilithium 2 + AES,1.6039335489273072,1.8115220308303832,2.1276161670684814,1.9981712102890015,
2021-03-06 04:14:00.759201,1615004040.759201,dilithium3_aes,Dilithium 3 + AES,1.6045303106307982,1.8484955549240112,2.2261083602905276,2.1098809003829957,
2021-03-06 04:15:20.405625,1615004120.405625,dilithium5_aes,Dilithium 5 + AES,1.615931725502014,1.891629981994629,2.3202829360961914,2.136570858955383,
2021-03-06 04:47:48.650577,1615006068.650577,rsa3072_dilithium2,RSA 3072 + Dilithium 2,183.9807472229004,4.074030232429505,4.611883234977722,2.1274977922439575,
2021-03-06 05:21:47.104691,1615008107.104691,rsa3072_falcon512,RSA 3072 + Falcon 512,192.56437170505524,4.227401089668274,4.837777709960938,2.2125486373901366,
2021-03-06 05:23:10.034878,1615008190.034878,p256_dilithium2,P256 + Dilithium 2,1.6740167379379274,1.9167332649230957,2.40044903755188,2.3015729188919067,
2021-03-06 05:25:39.944659,1615008339.944659,p256_falcon512,P256 + Falcon 512,8.049341988563539,2.077134847640991,2.5213266611099243,2.342306971549988,
2021-03-06 05:27:48.913614,1615008468.913614,p384_dilithium3,P384 + Dilithium 3,2.4410061836242676,2.7561116218566895,3.9231781244277957,3.776200008392334,
2021-03-06 05:30:59.509280,1615008659.50928,p521_dilithium5,P521 + Dilithium 5,3.489866662025452,3.874200177192688,5.8679666996002195,5.826927042007446,
2021-03-06 05:37:12.897614,1615009032.897614,p521_falcon1024,P521 + Falcon 1024,21.66621687412262,4.152095437049866,6.18900260925293,5.326637840270997,
2021-03-06 06:28:00.985527,1615012080.985527,rsa3072_rainbowIclassic,RSA 3072 + Rainbow I Classic,277.41258428096774,7.460938215255737,11.552066779136657,8.359804558753966,
2021-03-06 06:47:50.234699,1615013270.234699,p256_rainbowIclassic,P256 + Rainbow I Classic,95.81778991222382,5.296207165718079,9.387935805320739,8.41319990158081,
2021-03-06 10:41:21.028335,1615027281.028335,p384_rainbowIIIclassic,P384 + rainbowIIIclassic,1269.7434213638305,27.891361856460573,53.27653715610504,50.03942446708679,
