Timestamp,Timestamp (Seconds),Algorithm,Avg Key Gen Time (s),Avg Cert Signing Request Time (s),Avg Cert Gen Time (s),Avg Cert Verifying Time (s),
2020-10-28 01:55:53.904831,1603850153.904831,rsa 2048,85.08801174163818,84.9104814529419,82.88881921768188,82.62286448478699,
2020-10-28 02:01:30.027543,1603850490.027543,rsa 3072,84.94181036949158,85.33134269714355,83.18907117843628,82.65746068954468,
2020-10-28 02:07:05.446754,1603850825.446754,rsa 4096,85.04188418388367,85.00809454917908,82.70892238616943,82.65709137916565,
2020-10-28 02:13:55.506822,1603851235.506822,dilithium2,92.5776162147522,106.41489267349243,111.64846658706665,99.40899324417114,
2020-10-28 02:20:56.487307,1603851656.487307,dilithium3,93.42375159263611,109.33976531028748,116.36511492729187,101.84801769256592,
2020-10-28 02:28:05.082609,1603852085.082609,dilithium4,94.33111691474915,110.07244515419006,118.32782912254333,105.85904121398926,
2020-10-28 02:51:06.976875,1603853466.976875,falcon512,701.3992383480072,286.4501121044159,295.80715441703796,98.21030449867249,
2020-10-28 03:35:24.976367,1603856124.976367,falcon1024,1680.8916056156158,417.1178710460663,456.38990664482117,103.48272109031677,
2020-10-28 05:51:16.995113,1603864276.995113,rsa3072_dilithium2,7561.295742273331,235.7107138633728,248.82757019996643,106.13948273658752,
2020-10-28 08:07:13.673538,1603872433.673538,rsa3072_dilithium3,7560.92437338829,237.94880270957947,248.0685224533081,109.41467046737671,
2020-10-28 10:37:05.137143,1603881425.137143,rsa3072_falcon512,8073.52511715889,403.22738456726074,409.8662385940552,104.20345759391785,
2020-10-28 10:44:24.548691,1603881864.548691,p256_dilithium2,95.71191382408142,110.82470488548279,122.9040596485138,109.96111297607422,
2020-10-28 10:51:56.350506,1603882316.350506,p256_dilithium3,96.98500442504883,114.42051672935486,127.41081809997559,112.98146271705627,
2020-10-28 11:02:50.987600,1603882970.9876,p384_dilithium4,131.40596914291382,151.94290804862976,195.91354846954346,175.36838507652283,
2020-10-28 11:26:22.236836,1603884382.236836,p256_falcon512,706.0177066326141,290.98234486579895,305.48192048072815,108.73782110214233,
