Timestamp,Timestamp (Seconds),Algorithm,Algorithm (human readable),Avg Key Gen Time (ms),Avg Cert Signing Request Time (ms),Avg Cert Gen Time (ms),Avg Cert Verifying Time (ms),
2021-03-17 16:59:16.104398,1616000356.104398,rsa 2048,RSA 2048,241.17016792297363,10.025262832641602,9.66334342956543,3.652811050415039,
2021-03-17 16:59:17.296285,1616000357.296285,rsa 3072,RSA 3072,514.8544311523438,11.518478393554688,9.12785530090332,3.6258697509765625,
2021-03-17 16:59:18.792305,1616000358.792305,rsa 4096,RSA 4096,381.9541931152344,11.077404022216797,9.581804275512695,3.683328628540039,
2021-03-17 16:59:19.327223,1616000359.327223,secp 256k1,P256k1,3.9103031158447266,5.355119705200195,9.749174118041992,5.014181137084961,
2021-03-17 16:59:19.765747,1616000359.765747,secp 384r1,P384r1,4.726886749267578,6.275415420532227,9.477853775024414,5.803346633911133,
2021-03-17 16:59:20.218169,1616000360.218169,secp 521r1,P521r1,6.114006042480469,9.527206420898438,13.684272766113281,8.100509643554688,
2021-03-17 16:59:20.749899,1616000360.749899,dilithium2,Dilithium 2,3.0143260955810547,4.023075103759766,8.248567581176758,3.810405731201172,
2021-03-17 16:59:21.273887,1616000361.273887,dilithium3,Dilithium 3,3.6156177520751953,4.281520843505859,5.779743194580078,4.058361053466797,
2021-03-17 16:59:21.800982,1616000361.800982,dilithium5,Dilithium 5,3.711223602294922,4.390954971313477,8.730173110961914,4.217386245727539,
2021-03-17 16:59:22.326098,1616000362.326098,dilithium2_aes,Dilithium 2 with AES,3.3273696899414062,4.0302276611328125,7.458209991455078,3.6592483520507812,
2021-03-17 16:59:22.849687,1616000362.849687,dilithium3_aes,Dilithium 3 with AES,3.5314559936523438,4.1179656982421875,6.352901458740234,3.9598941802978516,
2021-03-17 16:59:23.375980,1616000363.37598,dilithium5_aes,Dilithium 5 with AES,3.6666393280029297,3.584146499633789,8.623361587524414,4.317045211791992,
2021-03-17 16:59:23.921004,1616000363.921004,falcon512,Falcon 512,10.290861129760742,4.425525665283203,8.063077926635742,3.9412975311279297,
2021-03-17 16:59:24.501458,1616000364.501458,falcon1024,Falcon 1024,24.823904037475586,4.824638366699219,8.99362564086914,4.168987274169922,
2021-03-17 16:59:25.291797,1616000365.291797,rainbowIclassic,Rainbow I Classic,123.61741065979004,9.28354263305664,18.303632736206055,11.841535568237305,
2021-03-17 16:59:26.103251,1616000366.103251,rainbowIcircumzenithal,Rainbow I Circumzenithal,137.76540756225586,7.397890090942383,15.181541442871094,9.496927261352539,
2021-03-17 16:59:27.086113,1616000367.086113,rainbowIcompressed,Rainbow I Compressed,139.06574249267578,63.729047775268555,71.38490676879883,9.155988693237305,
2021-03-17 16:59:30.745262,1616000370.745262,rainbowIIIclassic,Rainbow III Classic,1489.5360469818115,38.634538650512695,64.75543975830078,57.65700340270996,
2021-03-17 16:59:34.767931,1616000374.767931,rainbowIIIcircumzenithal,Rainbow III Circumzenithal,1692.8632259368896,26.146411895751953,51.50747299194336,42.008399963378906,
2021-03-17 16:59:41.106297,1616000381.106297,rainbowIIIcompressed,Rainbow III Compressed,1698.6520290374756,798.1784343719482,816.6303634643555,42.147159576416016,
2021-03-17 16:59:50.329834,1616000390.329834,rainbowVclassic,Rainbow V Classic,4174.158573150635,75.8829116821289,134.05132293701172,119.70973014831543,
2021-03-17 17:00:00.691897,1616000400.691897,rainbowVcircumzenithal,Rainbow V Circumzenithal,4799.670457839966,52.324771881103516,95.22771835327148,86.16161346435547,
2021-03-17 17:00:17.725644,1616000417.725644,rainbowVcompressed,Rainbow V Compressed,4792.692422866821,2271.7037200927734,2319.4382190704346,86.03191375732422,
2021-03-17 17:00:19.122967,1616000419.122967,rsa3072_dilithium2,RSA 3072 + Dilithium 2,71.11239433288574,7.843255996704102,8.205652236938477,4.184961318969727,
2021-03-17 17:00:19.968618,1616000419.968618,rsa3072_falcon512,RSA 3072 + Falcon 512,109.63940620422363,8.318662643432617,12.6800537109375,3.9894580841064453,
2021-03-17 17:00:21.281476,1616000421.281476,rsa3072_rainbowIclassic,RSA 3072 + Rainbow I Classic,481.7776679992676,11.979103088378906,22.02582359313965,12.038707733154297,
2021-03-17 17:00:22.731650,1616000422.73165,rsa3072_rainbowIcircumzenithal,RSA 3072 + Rainbow I Circumzenithal,574.735164642334,13.836145401000977,17.136812210083008,9.835958480834961,
2021-03-17 17:00:24.045697,1616000424.045697,rsa3072_rainbowIcompressed,RSA 3072 + Rainbow I Compressed,279.3724536895752,68.18413734436035,71.06375694274902,10.177373886108398,
2021-03-17 17:00:24.576087,1616000424.576087,p256_dilithium2,P256 + Dilithium 2,3.2677650451660156,4.353046417236328,8.392095565795898,4.315853118896484,
2021-03-17 17:00:25.117070,1616000425.11707,p256_falcon512,P256 + Falcon 512,10.907888412475586,4.562854766845703,8.597135543823242,4.28318977355957,
2021-03-17 17:00:25.655413,1616000425.655413,p384_dilithium3,P384 + Dilithium 3,5.333900451660156,6.077766418457031,11.621952056884766,6.649017333984375,
2021-03-17 17:00:26.205966,1616000426.205966,p521_dilithium5,P521 + Dilithium 5,7.044553756713867,7.502555847167969,15.275239944458008,9.013891220092773,
2021-03-17 17:00:26.791575,1616000426.791575,p521_falcon1024,P521 + Falcon 1024,23.760557174682617,8.795022964477539,15.766382217407227,8.02159309387207,
2021-03-17 17:00:27.581876,1616000427.581876,p256_rainbowIclassic,P256 + Rainbow I Classic,122.89571762084961,8.904695510864258,19.041776657104492,12.142419815063477,
