Timestamp,Timestamp (Seconds),Algorithm,Algorithm (human readable),Avg Key Gen Time (ms),Avg Cert Signing Request Time (ms),Avg Cert Gen Time (ms),Avg Cert Verifying Time (ms),
2021-03-12 23:00:46.961700,1615590046.9617,secp 256k1,ECDSA 256k1,2.904176712036133,5.27644157409668,5.537271499633789,4.917144775390625,
2021-03-12 23:00:47.397420,1615590047.39742,secp 384r1,ECDSA 384r1,4.872560501098633,6.728410720825195,6.765604019165039,5.904436111450195,
2021-03-12 23:00:47.843957,1615590047.843957,secp 521r1,ECDSA 521r1,6.2808990478515625,9.37032699584961,9.629487991333008,8.190393447875977,
2021-03-12 23:00:48.696207,1615590048.696207,rsa 2048,RSA 2048,232.48863220214844,11.168956756591797,5.466938018798828,3.6139488220214844,
2021-03-12 23:00:49.648995,1615590049.648995,rsa 3072,RSA 3072,376.1720657348633,11.177778244018555,5.841255187988281,3.513336181640625,
2021-03-12 23:00:51.703674,1615590051.703674,rsa 4096,RSA 4096,1070.993423461914,10.39576530456543,5.47027587890625,3.6513805389404297,
2021-03-12 23:00:52.289582,1615590052.289582,rsa,RSA,126.24692916870117,10.45083999633789,6.289243698120117,4.192113876342773,
2021-03-12 23:00:52.812404,1615590052.812404,dilithium2,Dilithium 2,3.2787322998046875,4.212379455566406,4.145145416259766,4.046201705932617,
2021-03-12 23:00:53.336235,1615590053.336235,dilithium3,Dilithium 3,3.3953189849853516,4.558324813842773,4.521846771240234,4.231452941894531,
2021-03-12 23:00:53.861061,1615590053.861061,dilithium5,Dilithium 5,3.803730010986328,4.53639030456543,4.713296890258789,4.3792724609375,
2021-03-12 23:00:54.383370,1615590054.38337,dilithium2_aes,Dilithium 2 with AES,3.496408462524414,3.9832592010498047,4.3277740478515625,3.576517105102539,
2021-03-12 23:00:54.905201,1615590054.905201,dilithium3_aes,Dilithium 3 with AES,2.577543258666992,4.126787185668945,4.373311996459961,3.7796497344970703,
2021-03-12 23:00:55.428553,1615590055.428553,dilithium5_aes,Dilithium 5 with AES,3.752470016479492,4.159212112426758,4.50897216796875,3.830432891845703,
2021-03-12 23:00:55.966264,1615590055.966264,falcon512,Falcon 512,11.978387832641602,4.336833953857422,4.441022872924805,3.528118133544922,
2021-03-12 23:00:56.542021,1615590056.542021,falcon1024,Falcon 1024,23.944854736328125,5.157709121704102,4.834651947021484,3.9005279541015625,
2021-03-12 23:00:57.329783,1615590057.329783,rainbowIclassic,Rainbow I Classic,122.42317199707031,8.514881134033203,13.194084167480469,15.284061431884766,
2021-03-12 23:00:58.140655,1615590058.140655,rainbowIcircumzenithal,Rainbow I Circumzenithal,138.76080513000488,8.582115173339844,11.02590560913086,9.323596954345703,
2021-03-12 23:00:59.121333,1615590059.121333,rainbowIcompressed,Rainbow I Compressed,138.20409774780273,64.03660774230957,66.96367263793945,9.567975997924805,
2021-03-12 23:01:02.777451,1615590062.777451,rainbowIIIclassic,Rainbow III Classic,1491.6174411773682,33.83994102478027,62.222957611083984,57.44647979736328,
2021-03-12 23:01:06.793580,1615590066.79358,rainbowIIIcircumzenithal,Rainbow III Circumzenithal,1692.7108764648438,26.15499496459961,46.09346389770508,41.92185401916504,
2021-03-12 23:01:13.127214,1615590073.127214,rainbowIIIcompressed,Rainbow III Compressed,1696.1798667907715,794.3754196166992,814.6507740020752,41.908979415893555,
2021-03-12 23:01:22.340771,1615590082.340771,rainbowvclassic,Rainbow V Classic,4175.647735595703,70.22404670715332,132.3378086090088,119.51470375061035,
2021-03-12 23:01:32.705764,1615590092.705764,rainbowVcircumzenithal,Rainbow V Circumzenithal,4799.1132736206055,52.18505859375,94.56539154052734,88.00172805786133,
2021-03-12 23:01:49.719808,1615590109.719808,rainbowVcompressed,Rainbow V Compressed,4785.800218582153,2271.526575088501,2312.211513519287,86.17186546325684,
2021-03-12 23:01:50.588101,1615590110.588101,rsa3072_dilithium2,RSA 3072 + Dilithium 2,65.93585014343262,8.449792861938477,8.385896682739258,4.031896591186523,
2021-03-12 23:01:51.393231,1615590111.393231,rsa3072_falcon512,RSA 3072 + Falcon 512,115.26203155517578,8.808374404907227,8.555173873901367,4.046916961669922,
