Timestamp,Timestamp (Seconds),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,
2021-03-10 20:21:38.752229,1615407698.752229,0.0,3493.4409999999993,15.2,651628544,0.0,0,19.0,11976015872,
2021-03-10 20:21:39.253166,1615407699.253166,0.3,3493.4409999999993,15.2,652230656,0.0,0,19.0,11976015872,
2021-03-10 20:21:39.754266,1615407699.754266,0.0,3493.4409999999993,15.2,651841536,0.0,0,19.0,11976015872,
2021-03-10 20:21:40.255450,1615407700.25545,6.3,3493.4409999999993,15.2,655712256,0.0,0,19.0,11976015872,
2021-03-10 20:21:40.756521,1615407700.756521,2.7,3493.4409999999993,15.3,658227200,0.0,0,19.0,11976015872,
2021-03-10 20:21:41.257643,1615407701.257643,0.0,3493.4409999999993,15.3,658149376,0.0,0,19.0,11976015872,
2021-03-10 20:21:41.758764,1615407701.758764,2.3,3493.4409999999993,15.3,659636224,0.0,0,19.0,11976015872,
2021-03-10 20:21:42.259725,1615407702.259725,20.8,3493.4409999999993,15.3,661798912,0.0,0,19.0,11976011776,
2021-03-10 20:21:42.760801,1615407702.760801,23.8,3493.4409999999993,15.3,662634496,0.0,0,19.0,11976011776,
2021-03-10 20:21:43.261877,1615407703.261877,22.0,3493.4409999999993,15.3,663371776,0.0,0,19.0,11976011776,
2021-03-10 20:21:43.762980,1615407703.76298,19.7,3493.4409999999993,15.3,663363584,0.0,0,19.0,11976011776,
2021-03-10 20:21:44.263677,1615407704.263677,19.4,3493.4409999999993,15.3,663867392,0.0,0,19.0,11976011776,
2021-03-10 20:21:44.764815,1615407704.764815,22.5,3493.4409999999993,15.3,663769088,0.0,0,19.0,11976011776,
2021-03-10 20:21:45.265875,1615407705.265875,19.8,3493.4409999999993,15.4,664330240,0.0,0,19.0,11976011776,
2021-03-10 20:21:45.766839,1615407705.766839,19.5,3493.4409999999993,15.4,666894336,0.0,0,19.0,11976011776,
2021-03-10 20:21:46.267923,1615407706.267923,21.7,3493.4409999999993,15.4,667914240,0.0,0,19.0,11976011776,
2021-03-10 20:21:46.769002,1615407706.769002,24.8,3493.4409999999993,15.3,663474176,0.0,0,19.0,11976011776,
2021-03-10 20:21:47.270096,1615407707.270096,20.1,3493.4409999999993,15.4,664510464,0.0,0,19.0,11976015872,
2021-03-10 20:21:47.770868,1615407707.770868,22.6,3493.4409999999993,15.4,664776704,0.0,0,19.0,11976011776,
2021-03-10 20:21:48.271978,1615407708.271978,20.9,3493.4409999999993,15.4,664801280,0.0,0,19.0,11976011776,
2021-03-10 20:21:48.773084,1615407708.773084,23.8,3493.4409999999993,15.4,664293376,0.0,0,19.0,11976011776,
2021-03-10 20:21:49.274199,1615407709.274199,21.5,3493.4409999999993,15.4,664842240,0.0,0,19.0,11976011776,
2021-03-10 20:21:49.774835,1615407709.774835,19.7,3493.4409999999993,15.4,665108480,0.0,0,19.0,11976015872,
2021-03-10 20:21:50.276042,1615407710.276042,20.9,3493.4409999999993,15.4,665075712,0.0,0,19.0,11976011776,
2021-03-10 20:21:50.777111,1615407710.777111,26.3,3493.4409999999993,15.4,665432064,0.0,0,19.0,11976011776,
2021-03-10 20:21:51.278192,1615407711.278192,22.7,3493.4409999999993,15.4,665710592,0.0,0,19.0,11976011776,
2021-03-10 20:21:51.778915,1615407711.778915,23.8,3493.4409999999993,15.4,666222592,0.0,0,19.0,11976011776,
2021-03-10 20:21:52.280012,1615407712.280012,21.6,3493.4409999999993,15.4,666177536,0.0,0,19.0,11976011776,
2021-03-10 20:21:52.781081,1615407712.781081,21.9,3493.4409999999993,15.4,664694784,0.0,0,19.0,11976011776,
2021-03-10 20:21:53.282326,1615407713.282326,22.4,3493.4409999999993,15.4,664596480,0.0,0,19.0,11976011776,
