Timestamp,Timestamp (Seconds),Algorithm,Avg Key Gen Time (s),Avg Cert Signing Request Time (s),Avg Cert Gen Time (s),Avg Cert Verifying Time (s),
2021-02-28 07:28:48.556644,1614497328.556644,rsa 2048,0.0022847652435302734,0.0023484230041503906,0.0029315948486328125,0.002701282501220703,
2021-02-28 07:28:48.567757,1614497328.567757,rsa 3072,0.002107858657836914,0.0020437240600585938,0.002210378646850586,0.002022266387939453,
2021-02-28 07:28:48.578447,1614497328.578447,rsa 4096,0.002165079116821289,0.0020508766174316406,0.0020585060119628906,0.0020902156829833984,
2021-02-28 07:28:48.592651,1614497328.592651,dilithium2,0.0024497509002685547,0.0029916763305664062,0.0029222965240478516,0.0025904178619384766,
2021-02-28 07:28:48.606846,1614497328.606846,dilithium3,0.0024776458740234375,0.002653837203979492,0.003128528594970703,0.002788543701171875,
2021-02-28 07:28:48.621545,1614497328.621545,dilithium5,0.0024535655975341797,0.0028467178344726562,0.003269672393798828,0.002874612808227539,
2021-02-28 07:28:48.634419,1614497328.634419,dilithium2_aes,0.0024085044860839844,0.002452373504638672,0.0026390552520751953,0.0024831295013427734,
2021-02-28 07:28:48.647853,1614497328.647853,dilithium3_aes,0.0023331642150878906,0.002616405487060547,0.002808809280395508,0.0026166439056396484,
2021-02-28 07:28:48.661476,1614497328.661476,dilithium5_aes,0.002366304397583008,0.0026738643646240234,0.002996683120727539,0.0026285648345947266,
2021-02-28 07:28:48.699248,1614497328.699248,falcon512,0.01609063148498535,0.0045354366302490234,0.0030944347381591797,0.0031561851501464844,
2021-02-28 07:28:48.761466,1614497328.761466,falcon1024,0.02046060562133789,0.005789756774902344,0.0061113834381103516,0.003183126449584961,
2021-02-28 07:28:49.572492,1614497329.572492,rsa3072_dilithium2,0.46024537086486816,0.006317853927612305,0.006535768508911133,0.002809762954711914,
2021-02-28 07:28:49.585077,1614497329.585077,rsa3072_dilithium3,0.0020482540130615234,0.002195596694946289,0.002327442169189453,0.002734661102294922,
2021-02-28 07:28:49.597345,1614497329.597345,rsa4096_dilithium5,0.0022170543670654297,0.0026900768280029297,0.0023698806762695312,0.002131223678588867,
2021-02-28 07:28:50.041150,1614497330.04115,rsa3072_falcon512,0.10967302322387695,0.006625175476074219,0.011806249618530273,0.0030488967895507812,
2021-02-28 07:28:50.052666,1614497330.052666,rsa4096_falcon512,0.002038240432739258,0.002360105514526367,0.0024421215057373047,0.0020868778228759766,
2021-02-28 07:28:50.068031,1614497330.068031,p256_dilithium2,0.0028569698333740234,0.0028929710388183594,0.0030426979064941406,0.003233671188354492,
2021-02-28 07:28:50.080029,1614497330.080029,p256_dilithium3,0.0024836063385009766,0.002421140670776367,0.002114534378051758,0.0022296905517578125,
2021-02-28 07:28:50.092523,1614497330.092523,p384_dilithium5,0.0021028518676757812,0.002311229705810547,0.0021200180053710938,0.0034461021423339844,
2021-02-28 07:28:50.126152,1614497330.126152,p256_falcon512,0.012854576110839844,0.0037131309509277344,0.003260374069213867,0.0031735897064208984,
2021-02-28 07:28:50.137318,1614497330.137318,p384_falcon1024,0.002270936965942383,0.0021915435791015625,0.0020508766174316406,0.002114534378051758,
